Country,Box Office (US$ Billion),English Proficiency Index,Population
China,9,513,1425887337
Japan,2,468,123951692
South Korea,1.6,529,51815810
France,1.6,515,64626628
India,1.5,515,1417173173
Germany,1,616,83369843
Mexico,0.9,436,127504125
Russia,0.9,511,144713314
Spain,0.7,540,47558630
Brazil,0.7,497,215313498
Italy,0.7,535,59037474
Netherlands,0.4,663,17564014
Indonesia,0.4,466,275501339
Poland,0.3,597,39857145
United Arab Emirates,0.3,480,9441129
Malaysia,0.3,562,33938221
Hong Kong,0.3,545,7488865
