Rank,Country,Score,Band,Country Code
2,Singapore,635,Very High Proficiency,SGP
3,Hong Kong,545,Moderate Proficiency,HKG
4,Denmark,636,Very High Proficiency,DNK
5,South Korea,529,Moderate Proficiency,KOR
7,Georgia,512,Moderate Proficiency,GEO
9,Norway,632,Very High Proficiency,NOR
10,Sweden,623,Very High Proficiency,SWE
11,Lithuania,579,High Proficiency,LTU
12,Malaysia,562,High Proficiency,MYS
16,United Arab Emirates,480,Low Proficiency,ARE
18,Estonia,581,High Proficiency,EST
19,Latvia,569,High Proficiency,LVA
20,Finland,618,Very High Proficiency,FIN
21,Thailand,419,Very Low Proficiency,THA
22,Germany,616,Very High Proficiency,DEU
25,Kazakhstan,426,Very  Low Proficiency,KAZ
27,Austria,641,Very High Proficiency,AUT
28,Azerbaijan,451,Low Proficiency,AZE
29,Russia,511,Moderate Proficiency,RUS
30,Japan,468,Low Proficiency,JPN
31,Spain,540,Moderate Proficiency,ESP
32,China,513,Moderate Proficiency,CHN
33,France,551,High Proficiency,FRA
34,Turkey,478,Low Proficiency,TUR
36,Switzerland,575,High Proficiency,CHE
38,Rwanda,389,Very Low Proficiency,RWA
39,Portugal,625,Very High Proficiency,PRT
40,Poland,597,High Proficiency,POL
41,Czech Republic,563,High Proficiency,CZE
42,Netherlands,663,Very High Proficiency,NLD
43,Bahrain,476,Low Proficiency,BHR
44,Serbia,599,High Proficiency,SRB
45,Slovakia,590,High Proficiency,SVK
46,Belgium,629,Very High Proficiency,BEL
47,Armenia,499,Low Proficiency,ARM
48,Moldova,532,Moderate Proficiency,MDA
49,Belarus,528,Moderate Proficiency,BLR
51,Croatia,617,Very High Proficiency,HRV
52,Hungary,593,High Proficiency,HUN
53,Morocco,477,Low Proficiency,MAR
55,Romania,598,High Proficiency,ROU
56,Kenya,587,High Proficiency,KEN
58,Italy,535,Moderate Proficiency,ITA
59,Chile,516,Moderate Proficiency,CHL
60,Mexico,436,Very Low Proficiency,MEX
61,Bulgaria,580,High Proficiency,BGR
62,India,515,Moderate Proficiency,IND
63,Saudi Arabia,404,Very Low Proficiency,SAU
64,Ukraine,525,Moderate Proficiency,UKR
67,Colombia,465,Low Proficiency,COL
68,Oman,417,Very Low Proficiency,OMN
69,Uzbekistan,447,Very Low Proficiency,UZB
70,Vietnam,486,Low Proficiency,VNM
72,Luxembourg,604,Very High Proficiency,LUX
73,Indonesia,466,Low Proficiency,IDN
74,Costa Rica,520,Moderate Proficiency,CRI
75,Jordan,440,Very Low Proficiency,JOR
76,Peru,505,Moderate Proficiency,PER
77,Qatar,467,Low Proficiency,QAT
78,Tunisia,510,Moderate Proficiency,TUN
79,Greece,591,High Proficiency,GRC
80,Kyrgyzstan,418,Very Low Proficiency,KGZ
81,Mongolia,461,Low Proficiency,MNG
82,Albania,527,Moderate Proficiency,ALB
83,Kuwait,458,Low Proficiency,KWT
84,South Africa,606,Very High Proficiency,ZAF
86,Panama,475,Low Proficiency,PAN
91,El Salvador,508,Moderate Proficiency,SLV
94,Nepal,492,Low Proficiency,NPL
95,Philippines,592,High Proficiency,PHL
96,Guatemala,493,Low Proficiency,GTM
99,Sri Lanka,464,Low Proficiency,LKA
101,Uruguay,509,Moderate Proficiency,URY
106,Tajikistan,405,Very Low Proficiency,TJK
108,Pakistan,491,Low Proficiency,PAK
110,Ivory Coast,420,Very  Low Proficiency,CIV
114,Egypt,455,Low Proficiency,EGY
115,Dominican Republic,520,Moderate Proficiency,DOM
118,Ghana,523,Moderate Proficiency,GHA
124,Brazil,497,Low Proficiency,BRA
125,Paraguay,520,Moderate Proficiency,PRY
126,Argentina,556,High Proficiency,ARG
127,Iran,501,Moderate Proficiency,IRN
129,Ecuador,440,Very Low Proficiency,ECU
131,Nigeria,560,High Proficiency,NGA
133,Honduras,506,Moderate Proficiency,HND
138,Mozambique,482,Low Proficiency,MOZ
141,Tanzania,485,Low Proficiency,TZA
142,Nicaragua,470,Low Proficiency,NIC
143,Lebanon,536,Moderate Proficiency,LBN
144,Cambodia,423,Very Low Proficiency,KHM
150,Bolivia,524,Moderate Proficiency,BOL
157,Algeria,474,Low Proficiency,DZA
159,Ethiopia,491,Low Proficiency,ETH
161,Madagascar,469,Low Proficiency,MDG
165,Myanmar,429,Very Low Proficiency,MMR
167,Cameroon,428,Very Low Proficiency,CMR
168,Bangladesh,490,Low Proficiency,BGD
171,Sudan,421,Very Low Proficiency,SDN
172,Iraq,399,Very Low Proficiency,IRQ
173,Afghanistan,448,Very Low Proficiency,AFG
176,Syria,445,Very Low Proficiency,SYR
177,Angola,428,Very Low Proficiency,AGO
179,Haiti,403,Very Low Proficiency,HTI
183,Democratic Republic of Congo,386,Very Low Proficiency,COD
185,South Sudan,363,Very Low Proficiency,SSD
186,Libya,390,Very Low Proficiency,LBY
187,Yemen,360,Very Low Proficiency,YEM
188,Venezuela,475,Low Proficiency,VEN
190,Somalia,401,Very Low Proficiency,SOM
