Data Source,World Development Indicators,
,,
Last Updated Date,16/9/2022,
,,
Country Name,Country Code,Number of Tourists
Aruba,ABW,1951000
Africa Eastern and Southern,AFE,39826701.4
Afghanistan,AFG,
Africa Western and Central,AFW,
Angola,AGO,218000
Albania,ALB,6406000
Andorra,AND,8235000
Arab World,ARB,142447574.2
United Arab Emirates,ARE,25282000
Argentina,ARG,7399000
Armenia,ARM,1894000
American Samoa,ASM,19200.00076
Antigua and Barbuda,ATG,1035000
Australia,AUS,9466000
Austria,AUT,31884000
Azerbaijan,AZE,3170000
Burundi,BDI,
Belgium,BEL,9343000
Benin,BEN,337000
Burkina Faso,BFA,143000
Bangladesh,BGD,323000
Bulgaria,BGR,12552000
Bahrain,BHR,11061000
"Bahamas, The",BHS,7250000
Bosnia and Herzegovina,BIH,1198000
Belarus,BLR,11832000
Belize,BLZ,1674000
Bermuda,BMU,805000
Bolivia,BOL,1239000
Brazil,BRA,6353000
Barbados,BRB,966000
Brunei Darussalam,BRN,4449000
Bhutan,BTN,316000
Botswana,BWA,
Central African Republic,CAF,87000
Canada,CAN,32430000
Central Europe and the Baltics,CEB,314638365.1
Switzerland,CHE,11818000
Channel Islands,CHI,
Chile,CHL,5431000
China,CHN,162538000
Cote d'Ivoire,CIV,2070000
Cameroon,CMR,1021000
"Congo, Dem. Rep.",COD,
"Congo, Rep.",COG,
Colombia,COL,4531000
Comoros,COM,45099.99847
Cabo Verde,CPV,758000
Costa Rica,CRI,3366000
Caribbean small states,CSS,19819087.26
Cuba,CUB,4276000
Curacao,CUW,1293000
Cayman Islands,CYM,2334000
Cyprus,CYP,4117000
Czech Republic,CZE,37202000
Germany,DEU,39563000
Djibouti,DJI,
Dominica,DMA,322000
Denmark,DNK,33093000
Dominican Republic,DOM,7550000
Algeria,DZA,2371000
East Asia & Pacific (excluding high income),EAP,292842169.4
Early-demographic dividend,EAR,369336988.9
East Asia & Pacific,EAS,490804002.1
Europe & Central Asia (excluding high income),ECA,180880471.5
Europe & Central Asia,ECS,1199188499
Ecuador,ECU,2108000
"Egypt, Arab Rep.",EGY,13026000
Euro area,EMU,655573447.5
Eritrea,ERI,
Spain,ESP,126170000
Estonia,EST,6103000
Ethiopia,ETH,812000
European Union,EUU,968873375.3
Fragile and conflict affected situations,FCS,
Finland,FIN,3290000
Fiji,FJI,969000
France,FRA,217877000
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,18000
Gabon,GAB,
United Kingdom,GBR,40857000
Georgia,GEO,7726000
Ghana,GHA,
Gibraltar,GIB,
Guinea,GIN,
"Gambia, The",GMB,620000
Guinea-Bissau,GNB,52400.00153
Equatorial Guinea,GNQ,
Greece,GRC,34005000
Grenada,GRD,526000
Greenland,GRL,
Guatemala,GTM,2560000
Guam,GUM,1667000
Guyana,GUY,315000
High income,HIC,1522430053
"Hong Kong SAR, China",HKG,55913000
Honduras,HND,2315000
Heavily indebted poor countries (HIPC),HPC,29134874
Croatia,HRV,60021000
Haiti,HTI,938000
Hungary,HUN,61397000
IBRD only,IBD,852166955.7
IDA & IBRD total,IBT,974462802.2
IDA total,IDA,100914423.8
IDA blend,IDB,
Indonesia,IDN,16107000
IDA only,IDX,63144062.51
Isle of Man,IMN,
India,IND,17914000
Not classified,INX,
Ireland,IRL,10951000
"Iran, Islamic Rep.",IRN,9107000
Iraq,IRQ,
Iceland,ISL,2202000
Israel,ISR,4905000
Italy,ITA,95399000
Jamaica,JAM,4233000
Jordan,JOR,5361000
Japan,JPN,31881000
Kazakhstan,KAZ,8515000
Kenya,KEN,2049000
Kyrgyz Republic,KGZ,8508000
Cambodia,KHM,6611000
Kiribati,KIR,12000
St. Kitts and Nevis,KNA,1107000
"Korea, Rep.",KOR,17503000
Kuwait,KWT,8565000
Latin America & Caribbean (excluding high income),LAC,165233237
Lao PDR,LAO,4791000
Lebanon,LBN,1936000
Liberia,LBR,
Libya,LBY,
St. Lucia,LCA,1220000
Latin America & Caribbean,LCN,201856013.7
Least developed countries: UN classification,LDC,40176417.36
Low income,LIC,17409971.53
Liechtenstein,LIE,98099.99847
Sri Lanka,LKA,2027000
Lower middle income,LMC,207722217.3
Low & middle income,LMY,814041186.1
Lesotho,LSO,1142000
Late-demographic dividend,LTE,549832276.9
Lithuania,LTU,6150000
Luxembourg,LUX,1041000
Latvia,LVA,8342000
"Macao SAR, China",MAC,39406000
St. Martin (French part),MAF,
Morocco,MAR,13109000
Monaco,MCO,363000
Moldova,MDA,174000
Madagascar,MDG,486000
Maldives,MDV,1703000
Middle East & North Africa,MEA,152571280
Mexico,MEX,97406000
Marshall Islands,MHL,6099.999905
Middle income,MIC,790163362.9
North Macedonia,MKD,758000
Mali,MLI,217000
Malta,MLT,3519000
Myanmar,MMR,4364000
Middle East & North Africa (excluding high income),MNA,65756226.13
Montenegro,MNE,2510000
Mongolia,MNG,637000
